Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-05-06 00:00:00-04:00,251.422616387831,252.8533935546875,251.2449944673515,252.8533935546875,2811500,0.0,0.0,0.0
2024-05-07 00:00:00-04:00,253.18888027221632,253.7612092001255,252.74486311752722,253.08035278320312,1829900,0.0,0.0,0.0
2024-05-08 00:00:00-04:00,252.0936021690722,253.14941146364478,251.94559644533464,252.90272521972656,2600100,0.0,0.0,0.0
2024-05-09 00:00:00-04:00,252.90270576051046,254.46177956543045,252.6066943358115,254.3927001953125,2418700,0.0,0.0,0.0
2024-05-10 00:00:00-04:00,255.24133904729263,255.59655278835461,254.03750895858158,254.62953186035156,1922500,0.0,0.0,0.0
2024-05-13 00:00:00-04:00,255.64587229662754,255.64587229662754,254.14603079044832,254.76768493652344,1948400,0.0,0.0,0.0
2024-05-14 00:00:00-04:00,254.80715629868374,256.22807141910835,254.65912046746246,256.010986328125,2466800,0.0,0.0,0.0
2024-05-15 00:00:00-04:00,257.3924399376059,259.2475253604895,256.9878708729925,259.1587219238281,2508700,0.0,0.0,0.0
2024-05-16 00:00:00-04:00,259.1981580829997,259.79021107982527,258.38901999110703,258.4580993652344,2445000,0.0,0.0,0.0
2024-05-17 00:00:00-04:00,258.67517543656703,258.82318115234375,257.7772339434346,258.82318115234375,2208700,0.0,0.0,0.0
2024-05-20 00:00:00-04:00,258.9514713789464,259.8691369601924,258.7343862842689,259.0896301269531,2366100,0.0,0.0,0.0
2024-05-21 00:00:00-04:00,258.72452516276286,259.6717918363406,258.65544579253725,259.6224365234375,2241900,0.0,0.0,0.0
2024-05-22 00:00:00-04:00,259.3757638062309,259.5830019277006,257.6687143104632,258.7442626953125,2356600,0.0,0.0,0.0
2024-05-23 00:00:00-04:00,260.36249060714704,260.421723004199,255.99121799867993,256.5437927246094,6603000,0.0,0.0,0.0
2024-05-24 00:00:00-04:00,257.57991020484087,258.73438493313677,256.99773429785193,258.3988952636719,3122900,0.0,0.0,0.0
2024-05-28 00:00:00-04:00,258.99094825634296,258.99094825634296,257.0371824144482,258.3988952636719,3078100,0.0,0.0,0.0
2024-05-29 00:00:00-04:00,256.17872426555357,256.91878299297343,255.99124031222857,256.27740478515625,3179000,0.0,0.0,0.0
2024-05-30 00:00:00-04:00,255.8432465882813,256.17873628021124,254.33352791806246,255.02426147460938,3031200,0.0,0.0,0.0
2024-05-31 00:00:00-04:00,255.5669388844609,257.1457368075186,252.85339030557185,256.98785400390625,3407400,0.0,0.0,0.0
2024-06-03 00:00:00-04:00,258.1916761097575,258.1916761097575,254.65911247759476,257.0667724609375,6203400,0.0,0.0,0.0
2024-06-04 00:00:00-04:00,256.39582268658916,257.43192302665597,255.5176352765456,257.0372009277344,2489800,0.0,0.0,0.0
2024-06-05 00:00:00-04:00,258.32982064742424,260.1849060058594,257.2444252727824,260.1849060058594,2384000,0.0,0.0,0.0
2024-06-06 00:00:00-04:00,260.15530822328566,260.46119675835644,259.11923803844155,259.9579772949219,2190200,0.0,0.0,0.0
2024-06-07 00:00:00-04:00,259.40539732074456,260.7966812166271,258.7738660912642,259.464599609375,1838900,0.0,0.0,0.0
2024-06-10 00:00:00-04:00,258.85279878160065,260.5006761570406,258.7245472284694,260.3329162597656,2142700,0.0,0.0,0.0
2024-06-11 00:00:00-04:00,259.5139147246853,260.84602639322355,258.4087652291193,260.7769470214844,3017300,0.0,0.0,0.0
2024-06-12 00:00:00-04:00,263.54971337497824,264.6548629356631,262.68137297356384,263.23394775390625,2762600,0.0,0.0,0.0
2024-06-13 00:00:00-04:00,263.9246547387252,264.25026729997,261.9807661170629,263.35235595703125,2285200,0.0,0.0,0.0
2024-06-14 00:00:00-04:00,262.33598365212646,263.1549987792969,261.72420663456654,263.1549987792969,2205600,0.0,0.0,0.0
2024-06-17 00:00:00-04:00,262.87873308316614,265.82909092986483,262.51364225956263,265.1581115722656,2452000,0.0,0.0,0.0
2024-06-18 00:00:00-04:00,265.2962203652442,265.96722978571654,265.0988894523351,265.8290710449219,2024300,0.0,0.0,0.0
2024-06-20 00:00:00-04:00,266.3619416494016,266.60862789378956,264.20096773951764,265.1581115722656,3168600,0.0,0.0,0.0
2024-06-21 00:00:00-04:00,264.8620976443716,265.2469125232191,263.914800793383,264.7535400390625,2679400,0.0,0.0,0.0
2024-06-24 00:00:00-04:00,264.78315773244094,266.2040729846639,264.23058292469517,264.30950927734375,2226500,0.0,0.0,0.0
2024-06-25 00:00:00-04:00,264.81273511749026,265.1778259277344,263.94439475092815,265.1778259277344,2074800,0.0,0.0,0.0
2024-06-26 00:00:00-04:00,264.4279405048045,265.53309010578886,264.08257372622984,265.1679992675781,1857500,0.0,0.0,0.0
2024-06-27 00:00:00-04:00,265.0593904675798,266.0165341537757,264.9311088220491,265.809326171875,2655400,0.0,0.0,0.0
2024-06-28 00:00:00-04:00,266.7421392199693,267.7720018962441,264.3457646050089,264.9002990722656,2822800,0.952,0.0,0.0
2024-07-01 00:00:00-04:00,265.870738076944,265.870738076944,264.1279282937195,265.4350280761719,2881000,0.0,0.0,0.0
